,time,hrv_rnssd
0,2024-10-01T00:50:00.000,21.694
1,2024-10-01T00:55:00.000,22.034
2,2024-10-01T01:00:00.000,26.176
3,2024-10-01T01:05:00.000,26.577
4,2024-10-01T01:10:00.000,32.382
5,2024-10-01T01:15:00.000,30.555
6,2024-10-01T01:20:00.000,31.618
7,2024-10-01T01:25:00.000,30.687
8,2024-10-01T01:30:00.000,31.065
9,2024-10-01T01:35:00.000,23.017
10,2024-10-01T01:40:00.000,25.458
11,2024-10-01T01:45:00.000,26.54
12,2024-10-01T01:50:00.000,14.882
13,2024-10-01T01:55:00.000,15.305
14,2024-10-01T02:00:00.000,18.942
15,2024-10-01T02:05:00.000,21.237
16,2024-10-01T02:10:00.000,21.508
17,2024-10-01T02:15:00.000,25.21
18,2024-10-01T02:20:00.000,20.066
19,2024-10-01T02:25:00.000,20.567
20,2024-10-01T02:30:00.000,21.655
21,2024-10-01T02:35:00.000,26.73
22,2024-10-01T02:40:00.000,21.461
23,2024-10-01T02:45:00.000,12.659
24,2024-10-01T03:15:00.000,14.611
25,2024-10-01T03:20:00.000,12.134
26,2024-10-01T03:25:00.000,14.46
27,2024-10-01T03:30:00.000,18.872
28,2024-10-01T03:35:00.000,24.37
29,2024-10-01T03:40:00.000,32.607
30,2024-10-01T03:45:00.000,17.697
31,2024-10-01T03:50:00.000,19.532
32,2024-10-01T03:55:00.000,19.037
33,2024-10-01T04:00:00.000,22.709
34,2024-10-01T04:05:00.000,18.379
35,2024-10-01T04:10:00.000,21.657
36,2024-10-01T04:15:00.000,29.6
37,2024-10-01T04:20:00.000,28.59
38,2024-10-01T05:10:00.000,26.254
39,2024-10-01T05:15:00.000,27.957
40,2024-10-01T05:20:00.000,29.185
41,2024-10-01T05:25:00.000,31.916
42,2024-10-01T05:30:00.000,33.439
43,2024-10-01T05:35:00.000,39.633
44,2024-10-01T05:40:00.000,32.095
45,2024-10-01T05:45:00.000,37.374
46,2024-10-01T05:50:00.000,26.394
47,2024-10-01T05:55:00.000,30.486
48,2024-10-01T06:00:00.000,34.035
49,2024-10-01T06:05:00.000,24.323
50,2024-10-01T06:10:00.000,23.006
51,2024-10-01T06:15:00.000,33.834
52,2024-10-01T06:20:00.000,34.683
53,2024-10-01T06:25:00.000,33.908
54,2024-10-01T06:30:00.000,28.503
55,2024-10-01T06:35:00.000,34.777
56,2024-10-01T06:40:00.000,33.498
57,2024-10-01T06:45:00.000,30.683
58,2024-10-01T06:50:00.000,33.15
59,2024-10-01T06:55:00.000,26.604
60,2024-10-01T07:00:00.000,25.738
61,2024-10-01T07:05:00.000,20.541
62,2024-10-01T07:10:00.000,36.507
63,2024-10-01T07:15:00.000,28.098
